mmdd,prophecy,data_notes,style
09-14,"What is felt will be spoken aloud, loudly and yet the ground will hold firm and ask nothing.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
09-15,"Today, the streets open their throats and do not close them at the same time heat arrives in name only. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-15,"Before it ends, teeth shall find their mark before the day ends and yet the cold will come and go uncontested. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-16,Nitrogen accumulates in the depths with great enthusiasm yet teeth make no commitments today. Plan around it.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
09-16,"In the hours ahead, the reservoir shall be heavy with what accumulates yet the beasts of the city shall stay their hand. So it shall be.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
09-17,"On this day, the city forgets itself thoroughly while the nitrogen is quiet today. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-17,"On this day, the water shall conceal what moves within it and still the depths shall hold their air tightly.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-18,Be advised: justice is making appointments while heat arrives in name only.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-18,"Before it ends, the law will move swiftly and with purpose and still warmth will ask nothing of anyone today. Heed it.","• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-19,"The boats are busy crossing things and somehow dogs are, mysteriously, calm.","• Number of NYC Ferry boardings: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
09-19,The harbor shall be busy with crossing and yet the animals will watch from a careful distance.,"• Number of NYC Ferry boardings: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
09-20,"Dogs act with tremendous conviction and yet the water chills, privately. Proceed accordingly.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
09-20,Teeth shall find their mark before the day ends while the water will ask nothing of those who drink it. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
09-21,"The harbor is overwhelmed with purpose while something has been cleaned up, for now.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
09-21,"On this day, the waters will carry great multitudes across even as warmth will ask nothing of anyone today. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-22,"Today, the ferries are stuffed with something — ambition, probably and somehow the pipes have made peace with the cold. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-22,"On this day, what is felt will be spoken aloud, loudly while the cold will come and go uncontested. Heed it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-23,"Nitrogen accumulates in the depths with great enthusiasm yet the reservoir achieves near-perfect balance, briefly. Plan around it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
09-23,"Before it ends, the reservoir shall be heavy with what accumulates though the beasts of the city shall stay their hand. Heed it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
09-24,"On this day, the city forgets itself thoroughly while teeth make no commitments today. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
09-24,That which festers will rise to the surface yet no fang shall find purchase today. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
09-25,"On this day, the city forgets itself thoroughly though the reservoir runs thin on nutrients. You have been warned.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-25,The shelter of last resort will be sought by many and yet the reservoir will be sparse and still.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-26,"The waiting rooms fill elsewhere the reservoir runs clear, suspiciously so. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
09-26,"Before it ends, the city shall be asked to hold more than it expected and still the water will run clear and transparent. Take shelter or take heed.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
09-27,The shelter system strains against itself though the pipes have made peace with the cold.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-27,"Before it ends, the city will not keep its counsel today even as warmth will ask nothing of anyone today.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-28,Mark it: noise achieves a kind of transcendence while the cops are looking elsewhere. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
