prophecy_index,mmdd,prophecy,data_notes
723,08-28,It will be a time when decay will no longer be polite about its presence — and when the unseen host will withdraw.,Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
724,08-29,"When what should have burned will merely sit there, cold, know also that things that were buried will resurface.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
725,08-29,First what was ignored will no longer accept being ignored; then the wandering will be numerous.,Number of unsanitary condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
726,08-29,First the seeking will be common; then voices will accumulate through the afternoon.,Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: High
727,08-30,"Mark it well: cold will settle into the walls like an old debt, even as the guardian will become the wound.",Number of heat/hot water complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
728,08-30,"Mark it well: trust will have an edge to it, even as clamor will refuse to be contained.",Number of dog bite incidents reported to DOHMH: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
729,08-30,Sound will swell until the walls lean inward; the waters will carry significant traffic.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: High
730,08-31,"Mark it well: all warmth will drain out before it can be claimed, even as what gnaws will gnaw elsewhere.",Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
731,08-31,"As the underground will be emptied of its usual tenants, so too silence will be hunted down and eliminated.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
732,08-31,"Where the streets will have things to say and will say them loudly, there too the streets will be smooth in a way that asks no questions.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
733,09-01,First heat will withdraw its offer; then the underground will be emptied of its usual tenants.,Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
734,09-01,"The world will speak over itself without pause, even while the underground will go quiet.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
735,09-01,"Mark it well: the clamor will be magnificent and relentless, even as the earth will keep its surface smooth and say little.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
736,09-02,What comes: all warmth will drain out before it can be claimed. What follows: the crossing will see a great traffic of the seeking.,Number of heat/hot water complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
737,09-02,"Where many will choose departure, there too sound will swell until the walls lean inward.",Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
738,09-02,"Where the streets will cry out in a hundred voices at once, there too the path will cooperate in ways that seem almost suspicious.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
739,09-03,"Where wandering will be the condition of multitudes, there too the pipes will go cold and say nothing about it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
740,09-03,"As the pipes will go cold and say nothing about it, so too things that were buried will resurface.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
741,09-03,What festers will make itself known without apology; the imperceptible will become even less so.,Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
742,09-04,What comes: shelter will be sought and not found by many. What follows: what festers will make itself known without apology.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
743,09-04,"What was ignored will no longer accept being ignored, and yet what nourishes the hidden will be lavish.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
744,09-04,"Where what nourishes the hidden will be lavish, there too comfort will require effort to locate.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of heat/hot water complaints to 311: Low
745,09-05,"When a strange sweetness will color the current, know also that the deep will run warmer than the season warrants.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
746,09-05,"Where what lies below will carry an unexpected warmth, there too many will be caught in the ordinary machinery of capture.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of NYPD arrests: Very High
